('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         410553 function calls (398801 primitive calls) in 0.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 models.py:838(text)
        1    0.000    0.000    0.001    0.001 utils.py:169(get_netrc_auth)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
     3600    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 filepost.py:1(<module>)
       13    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
      425    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      214    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
       69    0.000    0.000    0.001    0.000 css_parser.py:528(parse_tag_pattern)
       67    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
        5    0.000    0.000    0.001    0.000 six.py:95(__get__)
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
     2751    0.001    0.000    0.001    0.000 __init__.py:122(unescape)
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
        3    0.000    0.000    0.001    0.000 response.py:1(<module>)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      172    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        2    0.000    0.000    0.001    0.000 cookies.py:118(extract_cookies_to_jar)
      256    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
       26    0.000    0.000    0.001    0.000 abc.py:84(__new__)
      453    0.000    0.000    0.001    0.000 enum.py:646(__new__)
        1    0.000    0.000    0.001    0.001 __init__.py:411(PercentStyle)
        2    0.000    0.000    0.001    0.000 cookiejar.py:1677(extract_cookies)
       84    0.000    0.000    0.001    0.000 css_parser.py:767(parse_combinator)
        1    0.000    0.000    0.001    0.001 charsetgroupprober.py:28(<module>)
        1    0.000    0.000    0.001    0.001 adapters.py:255(build_response)
      809    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      136    0.000    0.000    0.001    0.000 css_parser.py:360(__init__)
      803    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       77    0.000    0.000    0.001    0.000 css_types.py:226(__init__)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
