('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         335648 function calls (327492 primitive calls) in 1.116 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      336    0.000    0.000    0.000    0.000 enum.py:438(__setattr__)
      276    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      649    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       96    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
     3822    0.000    0.000    0.000    0.000 element.py:1419(__bool__)
       18    0.000    0.000    0.000    0.000 abc.py:84(__new__)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
     1393    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1245    0.000    0.000    0.000    0.000 __init__.py:434(set_up_substitutions)
        1    0.000    0.000    0.000    0.000 request.py:341(full_url)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        1    0.000    0.000    0.000    0.000 request.py:372(_parse)
      308    0.000    0.000    0.000    0.000 css_parser.py:239(css_unescape)
      273    0.000    0.000    0.000    0.000 css_parser.py:335(match)
        1    0.000    0.000    0.000    0.000 client.py:204(parse_headers)
     1252    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5(HTTPStatus)
  159/128    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      321    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 universaldetector.py:51(UniversalDetector)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
     1244    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      123    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
     1168    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
     1196    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       69    0.000    0.000    0.000    0.000 css_types.py:212(__init__)
        7    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      135    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.000    0.000 parser.py:59(parsestr)
      356    0.000    0.000    0.000    0.000 enum.py:646(__new__)
        1    0.000    0.000    0.000    0.000 parser.py:41(parse)
     1698    0.000    0.000    0.000    0.000 element.py:1802(descendants)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1087(_cache_bytecode)
     2500    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 utf8prober.py:28(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
      513    0.000    0.000    0.000    0.000 __init__.py:726(handle_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1092(set_data)
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      276    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
      472    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       39    0.000    0.000    0.000    0.000 enum.py:947(__or__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_write_atomic)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:164(__prepare__)
        1    0.000    0.000    0.000    0.000 element.py:122(ContentMetaAttributeValue)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      207    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 feedparser.py:173(feed)
